pmid	date	journal	country	label	mesh
P1064238	1975	Transactions of the ophthalmological societies of the United Kingdom	ENGLAND	X	Blindness|Diabetic Retinopathy|Follow-Up Studies|Humans|Light Coagulation|Macula Lutea|Retinal Vessels|Visual Acuity
P1090475	1975	Diabetes	UNITED STATES	X	Aged|Antihypertensive Agents|Blood Glucose|Blood Pressure|Body Weight|Cholesterol|Clinical Trials as Topic|Diabetes Complications|Diabetic Angiopathies|Diabetic Retinopathy|Female|Follow-Up Studies|Glucose Tolerance Test|Heart Rate|Humans|Hypertension|Hypoglycemic Agents|Insulin, Long-Acting|Male|Middle Aged|Patient Dropouts|Phenformin|Placebos|Statistics as Topic|Time Factors|Tolbutamide
P1096626	1975	American journal of ophthalmology	UNITED STATES	X	Aging|Cataract|Chronic Disease|Clinical Trials as Topic|Diabetic Retinopathy|Diagnosis|Glaucoma|Humans|Macular Degeneration|Massachusetts|Middle Aged|Ophthalmoscopy|Research Design|Retinal Pigments|Visual Acuity
P1096628	1975	American journal of ophthalmology	UNITED STATES	X	Adult|Argon|Clinical Trials as Topic|Diabetic Retinopathy|Eligibility Determination|Humans|Laser Therapy|Light Coagulation|Research Design|Statistics as Topic|Vision Tests|Xenon
P1108355	1975	Transactions. Section on Ophthalmology. American Academy of Ophthalmology and Otolaryngology	UNITED STATES	X	Aged|Bacterial Infections|Betamethasone|Choroid|Clinical Trials as Topic|Female|Humans|Male|Middle Aged|Postoperative Complications|Retinal Detachment|Scleral Buckling|Uveal Diseases|Uveitis|Visual Acuity
P1148732	1975	British medical journal	ENGLAND	X	Adult|Aged|Ascorbic Acid|Capillary Fragility|Diabetes Mellitus|Diabetic Retinopathy|Diet Therapy|Humans|Middle Aged|Placebos|Pressure|Time Factors
P53599	1975	Lancet	ENGLAND	X	Adult|Age Factors|Aged|Clinical Trials as Topic|Diabetic Retinopathy|Evaluation Studies as Topic|Female|Follow-Up Studies|Humans|Light Coagulation|Macula Lutea|Male|Middle Aged|Time Factors|Visual Acuity
P1269844	1976	Diabetes	UNITED STATES	X	Adult|Aneurysm|Blood Glucose|Blood Pressure|Cholesterol|Creatinine|Delayed-Action Preparations|Diabetic Retinopathy|Drug Administration Schedule|Female|Fluorescein Angiography|Humans|Insulin|Lipids|Male|Middle Aged
P797067	1976	Transactions of the ophthalmological societies of the United Kingdom	ENGLAND	X	Adult|Aged|Clinical Trials as Topic|Diabetic Retinopathy|Follow-Up Studies|Humans|Light Coagulation|Middle Aged|Prognosis|Retinal Vessels|Xenon
P322791	1977	British medical journal	ENGLAND	X	Blindness|Clinical Trials as Topic|Diabetic Retinopathy|Humans|Optic Disk|Retinal Vessels|Visual Acuity|Xenon
P323086	1977	Diab?te & m?tabolisme	FRANCE	X	Benzenesulfonates|Calcium Dobesilate|Capillary Resistance|Clinical Trials as Topic|Diabetic Retinopathy|Female|Humans|Insulin|Male|Middle Aged|Placebos|Retinal Hemorrhage
P323093	1977	Diabetologia	GERMANY, WEST	X	Adult|Aged|Benzenesulfonates|Calcium Dobesilate|Capillary Resistance|Clinical Trials as Topic|Diabetic Retinopathy|Female|Fluorescein Angiography|Humans|Male|Middle Aged
P326306	1977	The British journal of ophthalmology	ENGLAND	X	Adult|Aged|Capillary Permeability|Clinical Trials as Topic|Cyclandelate|Diabetic Retinopathy|Double-Blind Method|Female|Fluorometry|Humans|Male|Mandelic Acids|Middle Aged|Retinal Vessels|Vitreous Body
P333921	1977	American journal of ophthalmology	UNITED STATES	X	Aged|Chronic Disease|Clinical Trials as Topic|Double-Blind Method|Edema|Female|Humans|Indomethacin|Macula Lutea|Male|Middle Aged|Postoperative Complications|Prostaglandins|Retinal Diseases
P336079	1977	The British journal of ophthalmology	ENGLAND	X	Blindness|Clinical Trials as Topic|Diabetic Retinopathy|Hemorrhage|Humans|Laser Therapy|Lasers|Optic Disk|Retinal Vessels|Visual Acuity|Vitreous Body
P341965	1977	The British journal of ophthalmology	ENGLAND	X	Adult|Aged|Clinical Trials as Topic|Constriction, Pathologic|Humans|Ischemia|Light Coagulation|Macular Degeneration|Middle Aged|Retina|Retinal Vein|Visual Acuity|Visual Fields
P285502	1978	Transactions of the ophthalmological societies of the United Kingdom	ENGLAND	X	Diabetic Retinopathy|Humans|Laser Therapy|Light Coagulation|Vision Disorders|Xenon
P345173	1978	Ophthalmology	UNITED STATES	X	Argon|Clinical Trials as Topic|Diabetic Retinopathy|Follow-Up Studies|Fundus Oculi|Humans|Light Coagulation|Photography|Retinal Hemorrhage|Retinal Vessels|Risk|Visual Acuity|Visual Fields|Xenon
