uid	pmids
D012173	P2844981|P2404204|P1654745|P1656826|P1848618|P1310572|P1315661|P1323624|P1326012|P1345799|P8393058|P8394858|P8014496|P7733183|P8540847|P9207349|P9262538|P16395727|P20821332|P21176231
D058437	
D000071700	
D056769	
D057135	P19800611|P19934816|P20566180|P20847709|P21057805|P21555967|P21610564|P21640257|P21640258|P21794843|P21872935|P21950702|P20337606|P22014603|P22241923|P22466461|P22555112|P22578446|P22776937
D012163	P1108355|P38704|P574397|P92202|P398445|P6181452|P7034773|P7043868|P7201436|P6192381|P6340512|P6761238|P6084217|P6383049|P2865943|P3910706|P3943741|P3308728|P3538520|P3547300|P3662317|P3061449|P3195646|P3207656|P3213920|P2652029|P2662100|P2695877|P2750831|P1963127|P2193849|P1651213|P1891222|P2023732|P2052306|P1371225|P1407968|P1495798|P1596224|P1596225|P7934683|P8112969|P8249589|P8250086|P8460273|P8470962|P8470963|P7829176|P7970548|P8002836|P8015776|P8034208|P8115726|P8115730|P7547781|P7786219|P7817029|P8574979|P8600888|P8602778|P8602779|P8618758|P8641826|P8684799|P8790093|P8858355|P8990654|P8743976|P9076205|P9112194|P9113011|P9222234|P9268994|P9290370|P9307639|P9387180|P9547774|P9640195|P10502583|P10950411|P11012492|P11115260|P11158812|P11425671|P11483076|P11530046|P11585312|P11733267|P12055461|P12148300|P12213159|P12441726|P12701865|P12756578|P12768907|P12867686|P12967798|P14510790|P14516427|P14574247|P14634942|P14662586|P14745677|P14746594|P15136318|P15307713|P15579984|P15582080|P15689804|P15948779|P15961159|P16085942|P16340523|P16401781|P16551903|P16888407|P17297830|P17218919|P17219106|P17270679|P17355251|P17398320|P17408389|P17445898|P17542347|P17846353|P17926113|P18043171|P18054633|P18185145|P18207120|P18431588|P18494727|P18584876|P18599016|P18782804|P19032906|P19092728|P19169319|P19208678|P19375168|P19516120|P19696703|P20108194|P19924670|P19952998|P20039868|P20424852|P20491044|P20570360|P20935692|P20937993|P20970011|P21149772|P19909291|P20102350|P20890243|P21124256|P21156702|P21305315|P21320959|P21325394|P21386767|P21470388|P21546512|P21878847|P22270216
D012162	P1704212|P11480793|P18201138|P20182883|P20691418|P20847757
D012167	P1495798|P7993207|P8008347|P8115729|P7547781|P7611316|P9098283|P8644802|P8644803|P8990654|P8912962|P9006420|P9307639|P9355191|P9544645|P10328392|P10380022|P10761291|P10811074|P11133873|P11159479|P11730653|P11733267|P12133372|P12153804|P12487895|P12756578|P12888042|P14516427|P14707844|P14769600|P15136318|P15249363|P16085942|P16194181|P16715252|P16892644|P17202200|P17218919|P17270679|P17353402|P18191090|P18440484|P18494727|P18703552|P18782804|P19028741|P19032906|P19375168|P19578018|P19912135|P19692379|P19713199|P19823863|P19952998|P20138368|P20541263|P20570360|P20616687|P20970011|P20890243|P21035869|P21051731|P21124256|P21386767|P21470388|P21872935|P21878847|P21900224|P21941361|P21941363|P22422031|P22656892|P22727286
D012166	P323086|P345173|P353623|P572699|P6163165|P6184769|P3900847|P3906248|P3547300|P3046587|P1870835|P1872141|P1923198|P2023749|P2062513|P2062515|P8336878|P8469455|P7493231|P7547781|P7826294|P10485548|P11318837|P12140400|P17543874|P18692244|P19516117|P20683380|P21379571|P21440942|P22362228
D012164	P333921|P647693|P508687|P7437393|P6752553|P6752799|P6752800|P6192381|P6340512|P6341914|P6682293|P6761238|P6084217|P6365157|P6383055|P6385648|P3900846|P3906246|P3966997|P6533162|P2417579|P3516925|P3531957|P3531958|P2440601|P3195646|P2662099|P2733993|P2793316|P3066728|P2700991|P1651213|P1714270|P1791685|P2003796|P2052309|P2062489|P2062513|P2062514|P2062515|P2070884|P2071350|P3155089|P1428550|P1497522|P1596224|P1596225|P7688950|P8221370|P8238214|P8352687|P8470962|P8470963|P7506400|P8002836|P8034208|P8110697|P8115726|P8287998|P7605283|P7754246|P7872876|P8646573|P9097772|P9097788|P9098292|P8639079|P8888844|P9269005|P9352280|P10530967|P9541437|P9559735|P9591958|P9673474|P9686856|P10030553|P10544403|P10548458|P10577530|P11835848|P10726795|P10764853|P10859510|P10889118|P11351356|P11927854|P12073055|P12556375|P12652225|P12842676|P14510798|P14641261|P15068431|P15234276|P15259296|P15288990|P15480108|P15516262|P15715573|P15767472|P15785924|P15808246|P16467677|P16856623|P16935343|P17273677|P17202200|P17524772|P17659971|P17932854|P17963111|P18054632|P18201138|P18538401|P18622251|P18779478|P18849625|P18997085|P19118701|P19253247|P19528363|P19734766|P19934822|P20097429|P20512062|P21172477|P21309844|P21358360|P21874629|P22395893|P22424576|P22466467|P22562298|P22656891
D015792	
D000793	P20678799
D018630	P7786219|P8751095|P9098292|P8600888|P8684799|P8858355|P9076205|P9112194|P9780100|P9796890|P10574493|P11425671|P12213159|P12701865|P12967798|P15582080|P16876497|P17218919|P17408389|P17846353|P18431588|P18584876|P18599016|P20046687|P20182883|P20424852|P20558423|P21325394|P21470388|P22270216
D057826	
D031300	P16564798|P18502614|P20704622|P21301382
D058456	
