PMID	date	journal	Country	mesh
1087108	1976	American heart journal	UNITED STATES	Arrhythmias, Cardiac|Coronary Artery Bypass|Death, Sudden|Humans|Male|Physical Exertion|Propranolol|Tachycardia|Ventricular Fibrillation
9717	1976	Ugeskrift for laeger	DENMARK	Adolescent|Adult|Aged|Anti-Anxiety Agents|Barbiturates|Clinical Trials as Topic|Drug Evaluation|Female|Flunitrazepam|Humans|Male|Middle Aged|Nitrazepam|Preanesthetic Medication
796401	1977	Journal of medicine	UNITED STATES	Adult|Blood Glucose|Clinical Trials as Topic|Galactose|Galactosemias|Humans|Insulin|Male|Middle Aged|Obesity|Sweetening Agents|Taste
358815	1978	American heart journal	UNITED STATES	Adult|Clinical Trials as Topic|Digoxin|Dose-Response Relationship, Drug|Half-Life|Humans|Infusions, Parenteral|Kinetics|Male|Urine
231024	1979	International journal of radiation oncology, biology, physics	UNITED STATES	Adenocarcinoma|Antineoplastic Agents|Bone Marrow|Carcinoma, Small Cell|Clinical Trials as Topic|Drug Therapy, Combination|Female|Humans|Lung Neoplasms|Male|Middle Aged|Radiation Injuries|Remission, Spontaneous|Time Factors
475542	1979	Archives of general psychiatry	UNITED STATES	Adolescent|Adult|Ambulatory Care|Community Mental Health Services|Family|Female|Home Nursing|Humans|Male|Mental Disorders|Middle Aged|Neurotic Disorders|Psychiatric Department, Hospital|Psychiatric Status Rating Scales|Psychotic Disorders|Schizophrenia|Social Adjustment
6248087	1980	Arzneimittel-Forschung	GERMANY, WEST	Androstane-3,17-diol|Androstanols|Anesthesia|Clinical Trials as Topic|Enzymes|Female|Hemodynamics|Humans|Male|Neuromuscular Blocking Agents|Pancuronium|Pipecuronium|Piperazines|Preanesthetic Medication|Respiration
7362757	1980	British journal of clinical pharmacology	ENGLAND	Adult|Amitriptyline|Desipramine|Drug Interactions|Female|Humans|Male|Methoxamine|Norepinephrine|Pupil
6459206	1981	Clinical science (London, England : 1979)	ENGLAND	Aged|Cardiomegaly|Hemodynamics|Humans|Hypertension|Middle Aged|Physical Exertion|Prazosin|Propranolol|Quinazolines|Random Allocation
7032565	1981	The British journal of clinical practice	ENGLAND	Arthritis, Rheumatoid|Clinical Trials as Topic|Double-Blind Method|Female|Humans|Ketoprofen|Male|Meperidine|Pain, Postoperative|Phenylpropionates|Random Allocation|Synovial Membrane
6127963	1982	Allergy	DENMARK	Administration, Intranasal|Administration, Oral|Adrenergic beta-Agonists|Asthma|Blood Pressure|Drug Synergism|Forced Expiratory Volume|Heart Rate|Humans|Terbutaline|Theophylline|Tremor
7028531	1982	The Journal of international medical research	ENGLAND	Adult|Aged|Antihypertensive Agents|Clinical Trials as Topic|Cyclopenthiazide|Delayed-Action Preparations|Diuretics|Double-Blind Method|Drug Combinations|Female|Humans|Hypertension|Male|Middle Aged|Oxprenolol|Random Allocation|Sodium Chloride Symporter Inhibitors
7121809	1982	Neuroradiology	GERMANY, WEST	Aorta, Thoracic|Blood Pressure|Brain|Carotid Arteries|Cerebral Angiography|Double-Blind Method|Heart Rate|Humans|Iodobenzoates|Iohexol|Metrizoate|Middle Aged|Random Allocation|Triiodobenzoic Acids|Vertebral Artery
6313523	1983	Hypertension	UNITED STATES	Angiotensin-Converting Enzyme Inhibitors|Blood Glucose|Blood Pressure|Captopril|Cholesterol|Clinical Trials as Topic|Dizziness|Drug Therapy, Combination|Female|Headache|Humans|Hydrochlorothiazide|Hypertension|Male|Middle Aged|Nausea|Potassium|Proline|Uric Acid
