name	uid	treepos	children
Calcimycin	D000001	D03.633.100.221.173	
Temefos	D000002	D02.705.400.625.800|D02.705.539.345.800|D02.886.300.692.800	
Abattoirs	D000003	J01.576.423.200.700.100|J03.540.020	
Abbreviations as Topic	D000004	L01.143.506.598.400.556.131	
Abdomen	D000005	A01.923.047	D034841|D006119|D034861|D014472|D007264
Abdomen, Acute	D000006	C10.597.617.044.200|C23.888.592.612.054.200|C23.888.821.030.249	
Abdominal Injuries	D000007	C26.017	D006549|D013161|D013275
Abdominal Neoplasms	D000008	C04.588.033	D010534|D058288|D012186
Abdominal Muscles	D000009	A02.633.567.050	D017773|D017568|D000071596
Abducens Nerve	D000010	A08.800.800.120.030	
Abelson murine leukemia virus	D000011	B04.613.807.375.525.020|B04.820.650.375.525.020	
Abetalipoproteinemia	D000012	C16.320.565.398.500.440.500|C18.452.584.500.875.440.500|C18.452.648.398.500.440.500	
Congenital Abnormalities	D000013	C16.131	D065817|D044148|D000014|D000015|D000016|D005124|D004065|D058540|D050033|D065630|D012868|D009421|D018640|D009008|D009139|D012857|D018376|D025063|D014564|D015619
Abnormalities, Drug-Induced	D000014	C16.131.042	
Abnormalities, Multiple	D000015	C16.131.077	D058747|D011218|D003410|D016738|D058496|D054877|D044542|D058497|D001506|D016878|D056889|D004476|D005736|D012415|D012779|D004314|D016715|D012410|D007184|D054975|D009261|D011535|D009958|D019280|D056846|D007849|D016142|D059446|D019082|D058502|D003635|D001478|D003057|D017204|D058165|D020331|D056732|D056733|D056730|D056731|D015211|D000072661|D001816|D056770|D058495|D056685|D056830|D014849|D055947|D008382|D056734|D054062|D007690|D054000|D009800|D054463
Abnormalities, Radiation-Induced	D000016	C16.131.080|C26.733.031|G01.750.748.500.031|N06.850.460.350.850.500.031|N06.850.810.300.360.031	
ABO Blood-Group System	D000017	D23.050.301.290.031|D23.050.705.230.031	
Abomasum	D000018	A13.869.106	
Abortifacient Agents	D000019	D27.505.696.875.131|D27.505.954.705.131	D000021|D000020
Abortifacient Agents, Nonsteroidal	D000020	D27.505.696.875.131.100|D27.505.954.705.131.100	
Abortifacient Agents, Steroidal	D000021	D27.505.696.875.131.200|D27.505.954.705.131.200	
Abortion, Spontaneous	D000022	C13.703.039	D000031|D000033|D000027|D000026|D000034|D020964|D000030
Abortion Applicants	D000023	M01.050	
Abortion, Criminal	D000024	I01.198.240.089	
Abortion, Eugenic	D000025	E04.520.050.050	
Abortion, Habitual	D000026	C13.703.039.089	D002581
Abortion, Incomplete	D000027	C13.703.039.093	
Abortion, Induced	D000028	E04.520.050	D000025|D000032|D018607|D000029
Abortion, Legal	D000029	E04.520.050.055	
Abortion, Missed	D000030	C13.703.039.173	
Abortion, Septic	D000031	C01.539.674.173|C13.703.039.256|C13.703.700.173	
Abortion, Therapeutic	D000032	E04.520.050.060	
Abortion, Threatened	D000033	C13.703.039.339	
Abortion, Veterinary	D000034	C13.703.039.422|C22.021	D002007
Abreaction	D000035	F04.754.720.107	D002399
Abrin	D000036	D08.811.277.450.430.700.750.111|D12.776.503.499.249|D12.776.765.678.906.111	
Abruptio Placentae	D000037	C13.703.420.078|C13.703.590.132	
Abscess	D000038	C01.539.830.025|C23.550.470.756.100	D000039|D010508|D020802|D008169|D017703|D016659|D018784|D010482|D001922
Peritonsillar Abscess	D000039	C01.539.830.025.675|C07.550.781.750.500|C08.730.561.750.500|C09.775.649.750.500	
